"student_id","name","total_enrollments","avg_completion_pct","engagement_segment"
"STU02862","Andi Saputra",11,63.18,"At Risk"
"STU02753","Permata Santoso",5,47.60,"Low Engagement"
"STU00611","Lestari Rahmawati",3,66.67,"Low Engagement"
"STU02332","Sinta Hakim",0,0.00,"Inactive"
"STU01318","Ferdi Anggara",4,50.50,"Low Engagement"
"STU02334","Citra Saputra",3,100.00,"Focused Learner"
"STU01644","Indah Putra",3,67.33,"Low Engagement"
"STU01552","Nita Yusuf",3,65.67,"Low Engagement"
"STU00939","Galih Saputra",1,91.00,"Focused Learner"
"STU02108","Wahyu Maulana",6,70.17,"Low Engagement"
"STU02568","Sinta Santoso",3,68.00,"Low Engagement"
"STU02604","Nita Hidayat",3,71.67,"Low Engagement"
"STU02878","Zahra Pertiwi",9,41.56,"At Risk"
"STU00062","Sari Permadi",1,47.00,"Low Engagement"
"STU00955","Ferdi Ramadhan",1,100.00,"Focused Learner"
"STU00616","Vina Lestari",6,67.50,"Low Engagement"
"STU01238","Vina Putra",6,38.00,"Low Engagement"
"STU00290","Budi Permadi",1,51.00,"Low Engagement"
"STU01869","Dimas Pertiwi",3,64.33,"Low Engagement"
"STU00043","Indah Susanto",5,40.40,"Low Engagement"
"STU00767","Bayu Pramudita",0,0.00,"Inactive"
"STU01924","Zahra Wibowo",1,100.00,"Focused Learner"
"STU00058","Galih Nugroho",0,0.00,"Inactive"
"STU02121","Putri Pratama",3,36.67,"Low Engagement"
"STU00930","Adi Pramudita",1,5.00,"Low Engagement"
"STU01602","Hadi Yusuf",2,87.50,"Focused Learner"
"STU01147","Indah Wijaya",6,70.83,"Low Engagement"
"STU01546","Dewi Susanto",4,20.50,"Low Engagement"
"STU02418","Vina Yusuf",3,48.33,"Low Engagement"
"STU02782","Krisna Cahyani",2,100.00,"Focused Learner"
"STU02762","Fitri Ramadhan",3,25.00,"Low Engagement"
"STU02370","Permata Susanto",4,44.25,"Low Engagement"
"STU00489","Putra Anggraini",4,43.75,"Low Engagement"
"STU01494","Arif Anggara",0,0.00,"Inactive"
"STU02191","Dimas Nugroho",6,37.67,"Low Engagement"
"STU02206","Ratna Wulandari",11,47.45,"At Risk"
"STU02296","Vina Setyowati",0,0.00,"Inactive"
"STU00114","Eka Hakim",6,48.00,"Low Engagement"
"STU01391","Intan Yusuf",0,0.00,"Inactive"
"STU02144","Fitri Kurniawan",1,74.00,"Low Engagement"
"STU02739","Luthfi Hakim",1,7.00,"Low Engagement"
"STU02301","Maya Maulana",6,77.17,"Low Engagement"
"STU00655","Aditya Nugroho",6,68.00,"Low Engagement"
"STU02343","Reza Saputra",1,46.00,"Low Engagement"
"STU02767","Putra Pramudita",5,55.00,"Low Engagement"
"STU02460","Dito Wibowo",6,62.00,"Low Engagement"
"STU01470","Budi Yusuf",1,8.00,"Low Engagement"
"STU01096","Bagus Anggraini",5,41.60,"Low Engagement"
"STU00160","Naufal Anggraini",3,27.67,"Low Engagement"
"STU01257","Adi Anggara",3,85.33,"Focused Learner"
"STU02905","Krisna Putra",4,51.00,"Low Engagement"
"STU02853","Eko Iskandar",1,100.00,"Focused Learner"
"STU02297","Eko Susanto",4,62.25,"Low Engagement"
"STU00723","Surya Pertiwi",10,48.40,"At Risk"
"STU02185","Diah Damayanti",5,49.60,"Low Engagement"
"STU02355","Maya Yusuf",11,56.00,"At Risk"
"STU02328","Dewi Santoso",3,59.33,"Low Engagement"
"STU01595","Fitri Damayanti",1,9.00,"Low Engagement"
"STU01350","Krisna Mahendra",11,58.18,"At Risk"
"STU00786","Nita Lestari",3,81.67,"Focused Learner"
"STU02973","Dito Nugroho",6,36.00,"Low Engagement"
"STU02304","Bayu Cahyani",9,63.67,"At Risk"
"STU00473","Panji Maulana",3,41.00,"Low Engagement"
"STU00770","Reza Maulana",0,0.00,"Inactive"
"STU01444","Ayu Anggara",5,76.60,"Low Engagement"
"STU00508","Rahmat Wijaya",0,0.00,"Inactive"
"STU02350","Dewi Yusuf",2,44.00,"Low Engagement"
"STU02655","Indah Wulandari",3,60.33,"Low Engagement"
"STU01308","Arif Damayanti",1,4.00,"Low Engagement"
"STU01294","Rizky Wulandari",4,33.00,"Low Engagement"
"STU00892","Rizky Pertiwi",0,0.00,"Inactive"
"STU00246","Reza Iskandar",2,76.50,"Low Engagement"
"STU00200","Umi Anggara",2,52.00,"Low Engagement"
"STU00640","Dito Susanto",0,0.00,"Inactive"
"STU01571","Reno Kusuma",0,0.00,"Inactive"
"STU01392","Diah Pratama",3,67.33,"Low Engagement"
"STU00248","Ratna Kurniawan",6,48.00,"Low Engagement"
"STU02441","Citra Hidayat",3,89.67,"Focused Learner"
"STU00657","Fitri Kurniawan",4,42.75,"Low Engagement"
"STU00707","Mawar Kurniawan",3,33.33,"Low Engagement"
"STU02496","Surya Rahmawati",8,69.50,"At Risk"
"STU02600","Yoga Saputra",0,0.00,"Inactive"
"STU02163","Budi Pramudita",3,24.33,"Low Engagement"
"STU00684","Tia Pratama",3,67.67,"Low Engagement"
"STU01396","Hadi Setyowati",7,15.29,"Low Engagement"
"STU00859","Hadi Kurniawan",0,0.00,"Inactive"
"STU00699","Fajar Anggara",0,0.00,"Inactive"
"STU00128","Olivia Wibowo",0,0.00,"Inactive"
"STU00849","Gilang Kurniawan",2,18.00,"Low Engagement"
"STU00746","Krisna Lestari",3,52.00,"Low Engagement"
"STU02389","Lestari Rahmawati",3,42.67,"Low Engagement"
"STU02837","Adi Setyowati",0,0.00,"Inactive"
"STU02868","Olivia Kusuma",3,21.00,"Low Engagement"
"STU01182","Rizky Nugroho",1,77.00,"Low Engagement"
"STU02008","Umi Setiawan",1,25.00,"Low Engagement"
"STU00935","Ratna Permadi",4,31.00,"Low Engagement"
"STU01842","Rizky Wijaya",2,56.00,"Low Engagement"
"STU01921","Fitri Anggara",6,56.33,"Low Engagement"
"STU00716","Maya Wibowo",3,26.00,"Low Engagement"
"STU00050","Yuni Saputra",4,41.50,"Low Engagement"
"STU01664","Ratna Anggara",3,36.33,"Low Engagement"
"STU01398","Ayu Susanto",6,35.50,"Low Engagement"
"STU01030","Naufal Anggraini",0,0.00,"Inactive"
"STU00666","Wahyu Hidayat",6,54.50,"Low Engagement"
"STU00693","Adi Iskandar",1,83.00,"Focused Learner"
"STU02793","Surya Saputra",7,52.00,"Low Engagement"
"STU01537","Citra Iskandar",0,0.00,"Inactive"
"STU01054","Wahyu Wijaya",5,46.00,"Low Engagement"
"STU00314","Gilang Hapsari",6,79.83,"Low Engagement"
"STU02694","Reza Kurniawan",2,57.50,"Low Engagement"
"STU02573","Rahmat Hidayat",3,85.00,"Focused Learner"
"STU00503","Umi Lestari",2,39.50,"Low Engagement"
"STU02930","Fitri Ramadhan",0,0.00,"Inactive"
"STU00812","Vina Hidayat",0,0.00,"Inactive"
"STU02279","Rahmat Kusuma",3,37.00,"Low Engagement"
"STU01621","Iqbal Setiawan",1,100.00,"Focused Learner"
"STU00646","Nadia Susanto",6,75.83,"Low Engagement"
"STU02962","Putri Kusuma",0,0.00,"Inactive"
"STU01882","Umi Setiawan",3,15.00,"Low Engagement"
"STU02463","Reno Mahendra",0,0.00,"Inactive"
"STU00006","Winda Mahendra",10,48.00,"At Risk"
"STU02731","Maya Ramadhan",4,55.75,"Low Engagement"
"STU02244","Kirana Iskandar",5,55.00,"Low Engagement"
"STU02200","Citra Damayanti",2,40.50,"Low Engagement"
"STU02122","Dewi Setyowati",4,37.25,"Low Engagement"
"STU01864","Ayu Putra",5,47.40,"Low Engagement"
"STU01640","Zahra Hakim",10,67.90,"At Risk"
"STU01547","Citra Mahendra",0,0.00,"Inactive"
"STU01955","Sinta Permadi",3,82.67,"Focused Learner"
"STU02921","Hana Rahmawati",0,0.00,"Inactive"
"STU02940","Luthfi Hapsari",6,54.17,"Low Engagement"
"STU01109","Eko Nugroho",0,0.00,"Inactive"
"STU01823","Naufal Hakim",3,50.33,"Low Engagement"
"STU02827","Vina Lestari",3,89.33,"Focused Learner"
"STU01336","Nita Permadi",3,19.33,"Low Engagement"
"STU02292","Citra Maulana",3,69.33,"Low Engagement"
"STU01652","Winda Wijaya",7,61.00,"Low Engagement"
"STU02798","Krisna Nugroho",1,100.00,"Focused Learner"
"STU02269","Dito Iskandar",6,31.67,"Low Engagement"
"STU01947","Intan Hakim",3,82.67,"Focused Learner"
"STU02546","Andi Setiawan",0,0.00,"Inactive"
"STU01636","Dewi Nugroho",2,86.00,"Focused Learner"
"STU00667","Gita Anggraini",4,52.75,"Low Engagement"
"STU01239","Satria Iskandar",0,0.00,"Inactive"
"STU02871","Winda Hapsari",11,43.82,"At Risk"
"STU02800","Surya Pertiwi",6,50.33,"Low Engagement"
"STU00566","Kirana Putra",2,35.00,"Low Engagement"
"STU01206","Sari Cahyani",6,52.83,"Low Engagement"
"STU01295","Ayu Anggara",7,56.00,"Low Engagement"
"STU01738","Galih Setyowati",2,64.50,"Low Engagement"
"STU01154","Olivia Anggraini",0,0.00,"Inactive"
"STU02484","Andi Anggara",0,0.00,"Inactive"
"STU02053","Bayu Lestari",2,92.00,"Focused Learner"
"STU01258","Indah Lestari",1,100.00,"Focused Learner"
"STU02469","Fitri Yusuf",0,0.00,"Inactive"
"STU00402","Dito Wijaya",3,70.00,"Low Engagement"
"STU01740","Dewi Hidayat",4,26.00,"Low Engagement"
"STU00202","Bagus Saputra",1,100.00,"Focused Learner"
"STU02408","Sinta Kusuma",2,51.00,"Low Engagement"
"STU00749","Panji Nugroho",6,26.83,"Low Engagement"
"STU02529","Siti Setiawan",1,7.00,"Low Engagement"
"STU01243","Adi Nugroho",3,82.00,"Focused Learner"
"STU00760","Reza Rahmawati",0,0.00,"Inactive"
"STU02906","Dimas Permadi",0,0.00,"Inactive"
"STU01482","Galih Hakim",1,72.00,"Low Engagement"
"STU01701","Bayu Pertiwi",5,79.20,"Low Engagement"
"STU01792","Gita Saputra",2,31.00,"Low Engagement"
"STU02766","Putri Iskandar",3,37.00,"Low Engagement"
"STU00476","Zahra Pertiwi",11,47.82,"At Risk"
"STU01450","Andi Hidayat",0,0.00,"Inactive"
"STU00407","Reza Maulana",5,53.60,"Low Engagement"
"STU00149","Putri Hapsari",0,0.00,"Inactive"
"STU02394","Luthfi Lestari",3,62.00,"Low Engagement"
"STU00983","Indah Susanto",5,52.20,"Low Engagement"
"STU00030","Eko Setiawan",6,73.00,"Low Engagement"
"STU02525","Panji Hapsari",8,78.25,"At Risk"
"STU02456","Rizky Ramadhan",6,43.33,"Low Engagement"
"STU02630","Adi Pertiwi",1,7.00,"Low Engagement"
"STU01460","Ferdi Lestari",1,60.00,"Low Engagement"
"STU00717","Galih Kusuma",2,47.50,"Low Engagement"
"STU02717","Wahyu Pramudita",3,88.00,"Focused Learner"
"STU02018","Eka Maulana",1,1.00,"Low Engagement"
"STU00997","Intan Permadi",5,56.00,"Low Engagement"
"STU02068","Rahmat Wibowo",5,85.80,"Focused Learner"
"STU01554","Yuni Kusuma",2,100.00,"Focused Learner"
"STU02886","Sari Pramudita",7,72.86,"Low Engagement"
"STU02701","Luthfi Putra",3,37.00,"Low Engagement"
"STU02349","Krisna Pertiwi",4,47.00,"Low Engagement"
"STU00462","Andi Damayanti",6,25.67,"Low Engagement"
"STU01198","Satria Maulana",3,46.67,"Low Engagement"
"STU02954","Rizky Damayanti",1,100.00,"Focused Learner"
"STU00608","Satria Cahyani",3,49.00,"Low Engagement"
"STU00968","Umi Kurniawan",9,49.44,"At Risk"
"STU00132","Surya Santoso",0,0.00,"Inactive"
"STU00199","Dito Yusuf",0,0.00,"Inactive"
"STU02616","Yoga Damayanti",0,0.00,"Inactive"
"STU00574","Dimas Kurniawan",1,23.00,"Low Engagement"
"STU00220","Putra Lestari",1,72.00,"Low Engagement"
"STU02090","Indah Ramadhan",1,100.00,"Focused Learner"
"STU02744","Iqbal Wulandari",5,60.80,"Low Engagement"
"STU02943","Putra Ramadhan",3,41.00,"Low Engagement"
"STU02288","Winda Hidayat",11,32.55,"At Risk"
"STU02318","Mega Setiawan",3,43.67,"Low Engagement"
"STU01732","Fajar Hapsari",5,24.20,"Low Engagement"
"STU00155","Hadi Lestari",2,90.00,"Focused Learner"
"STU00688","Tia Ramadhan",6,32.00,"Low Engagement"
"STU00475","Aditya Mahendra",4,52.75,"Low Engagement"
"STU00836","Panji Cahyani",1,59.00,"Low Engagement"
"STU00159","Putra Wibowo",11,53.36,"At Risk"
"STU02915","Eko Hapsari",8,56.13,"At Risk"
"STU02877","Maya Iskandar",0,0.00,"Inactive"
"STU02091","Umi Wibowo",3,37.33,"Low Engagement"
"STU02634","Sinta Pramudita",3,53.67,"Low Engagement"
"STU02256","Siti Wibowo",0,0.00,"Inactive"
"STU00773","Umi Mahendra",0,0.00,"Inactive"
"STU00015","Putri Hidayat",11,40.09,"At Risk"
"STU01018","Ferdi Damayanti",3,70.67,"Low Engagement"
"STU02309","Ratna Kusuma",3,30.33,"Low Engagement"
"STU01233","Kirana Cahyani",2,92.50,"Focused Learner"
"STU01529","Tia Wibowo",3,76.00,"Low Engagement"
"STU00830","Nita Kusuma",2,71.50,"Low Engagement"
"STU02748","Ratna Yusuf",3,38.00,"Low Engagement"
"STU02110","Ayu Mahendra",3,7.33,"Low Engagement"
"STU00343","Reno Wulandari",2,14.00,"Low Engagement"
"STU00236","Maya Rahmawati",5,62.80,"Low Engagement"
"STU00158","Mega Maulana",5,96.00,"Focused Learner"
"STU01703","Winda Yusuf",3,26.33,"Low Engagement"
"STU00008","Siti Permadi",2,54.50,"Low Engagement"
"STU00526","Permata Iskandar",3,62.00,"Low Engagement"
"STU02388","Citra Permadi",3,12.00,"Low Engagement"
"STU01351","Kirana Iskandar",3,100.00,"Focused Learner"
"STU00401","Adi Kurniawan",9,52.00,"At Risk"
"STU00431","Permata Pramudita",3,36.67,"Low Engagement"
"STU00197","Hana Iskandar",5,50.00,"Low Engagement"
"STU01562","Maya Mahendra",3,47.33,"Low Engagement"
"STU01085","Reza Saputra",3,47.00,"Low Engagement"
"STU00829","Aditya Setyowati",9,37.89,"At Risk"
"STU01271","Bagus Kusuma",1,1.00,"Low Engagement"
