"student_id","name","email","age","city","registration_date","acquisition_source","plan_type","total_enrollments"
"STU02862","Andi Saputra","andi.saputra@gmail894@gmail.com",45,"Makassar","2023-10-05","Google","pro",11
"STU02753","Permata Santoso","permata.santoso@gmail.com",28,"Semarang","2024-10-06","Instagram","free",5
"STU00611","Lestari Rahmawati","lestari.rahmawati586@gmail.com",45,"Medan","2024-08-22","Google","free",3
"STU02332","Sinta Hakim","sinta.hakim@yahoo.com",42,"Medan","2023-04-07","Instagram","free",0
"STU01318","Ferdi Anggara","ferdi.anggara@yahoo.com",30,"Bekasi","2024-05-11","YouTube","pro",4
"STU02334","Citra Saputra","citra.saputra@gmail.com",43,"Bandung","2024-08-23","Instagram","basic",3
"STU01644","Indah Putra","indah.putra@gmail.com",37,"Jakarta","2022-03-11","Google","free",3
"STU01552","Nita Yusuf","nita.yusuf948@gmail.com",18,"Bandung","2024-05-21","Instagram","free",3
"STU00939","Galih Saputra","galih.saputra821@yahoo.com",42,"Bekasi","2022-06-28","Instagram","free",1
"STU02108","Wahyu Maulana","wahyu.maulana@hotmail.com",34,"Jakarta","2022-01-08","Referral","free",6
"STU02568","Sinta Santoso","sinta.santoso208@hotmail.com",33,"Jakarta","2022-11-05","Instagram","free",3
"STU02604","Nita Hidayat","nita.hidayat592@outlook2874@gmail.com",25,"Bandung","2022-11-07","TikTok","free",3
"STU02878","Zahra Pertiwi","zahra.pertiwi@yahoo.com",18,"Denpasar","2024-02-02","Google","free",9
"STU00062","Sari Permadi","sari.permadi396@yahoo.com",33,"Yogyakarta","2022-08-11","Organic","free",1
"STU00955","Ferdi Ramadhan","ferdi.ramadhan@hotmail.com",28,"Medan","2024-04-05","Instagram","free",1
"STU00616","Vina Lestari","vina.lestari@outlook.com",40,"Jakarta","2022-12-13","Organic","free",6
"STU01238","Vina Putra","vina.putra@outlook.com",21,"Jakarta","2022-07-01","Instagram","free",6
"STU00290","Budi Permadi","budi.permadi@hotmail.com",35,"Bandung","2023-06-13","Organic","free",1
"STU01869","Dimas Pertiwi","dimas.pertiwi@outlook.com",26,"Jakarta","2025-02-13","Instagram","free",3
"STU00043","Indah Susanto","indah.susanto@hotmail.com",40,"Yogyakarta","2024-10-10","Instagram","free",5
"STU00767","Bayu Pramudita","bayu.pramudita@hotmail.com",21,"Surabaya","2024-02-08","Referral","free",0
"STU01924","Zahra Wibowo","zahra.wibowo993@outlook.com",22,"Jakarta","2022-03-30","TikTok","free",1
"STU00058","Galih Nugroho","galih.nugroho@yahoo.com",27,"Semarang","2022-01-20","Google","free",0
"STU02121","Putri Pratama","putri.pratama@gmail.com",24,"Makassar","2023-02-09","Instagram","free",3
"STU00930","Adi Pramudita","adi.pramudita259@yahoo8511@gmail.com",26,"Bogor","2024-12-01","Referral","pro",1
"STU01602","Hadi Yusuf","hadi.yusuf792@yahoo.com",31,"Jakarta","2024-05-09","TikTok","free",2
"STU01147","Indah Wijaya","indah.wijaya864@outlook.com",39,"Jakarta","2024-01-02","Instagram","pro",6
"STU01546","Dewi Susanto","dewi.susanto@outlook.com",23,"Medan","2022-01-30","Referral","pro",4
"STU02418","Vina Yusuf","vina.yusuf@outlook.com",37,"Bandung","2024-11-02","Instagram","free",3
"STU02782","Krisna Cahyani","krisna.cahyani832@hotmail.com",31,"Bandung","2024-09-07","TikTok","free",2
"STU02762","Fitri Ramadhan","fitri.ramadhan531@yahoo.com",27,"Palembang","2024-03-15","Instagram","free",3
"STU02370","Permata Susanto","permata.susanto280@yahoo.com",19,"Malang","2023-10-16","YouTube","free",4
"STU00489","Putra Anggraini","putra.anggraini@outlook.com",45,"Medan","2023-03-28","Google","free",4
"STU01494","Arif Anggara","arif.anggara@gmail.com",44,"Jakarta","2024-04-29","Instagram","pro",0
"STU02191","Dimas Nugroho","dimas.nugroho509@hotmail.com",24,"Denpasar","2022-06-04","Instagram","free",6
"STU02206","Ratna Wulandari","ratna.wulandari@gmail.com",36,"Jakarta","2023-01-05","YouTube","pro",11
"STU02296","Vina Setyowati","vina.setyowati386@hotmail112@gmail.com",22,"Yogyakarta","2023-08-25","YouTube","free",0
"STU00114","Eka Hakim","eka.hakim@gmail.com",28,"Jakarta","2022-10-07","TikTok","free",6
"STU01391","Intan Yusuf","intan.yusuf882@gmail9273@gmail.com",40,"Medan","2024-03-12","TikTok","basic",0
"STU02144","Fitri Kurniawan","fitri.kurniawan457@hotmail.com",39,"Yogyakarta","2023-02-28","Instagram","free",1
"STU02739","Luthfi Hakim","luthfi.hakim@yahoo.com",18,"Surabaya","2025-01-01","TikTok","free",1
"STU02301","Maya Maulana","maya.maulana962@hotmail.com",31,"Semarang","2022-11-08","YouTube","free",6
"STU00655","Aditya Nugroho","aditya.nugroho@hotmail.com",39,"Yogyakarta","2024-07-20","Instagram","free",6
"STU02343","Reza Saputra","reza.saputra@gmail.com",39,"Semarang","2023-03-05","Instagram","free",1
"STU02767","Putra Pramudita","putra.pramudita978@yahoo.com",41,"Bekasi","2022-04-27","Instagram","pro",5
"STU02460","Dito Wibowo","dito.wibowo921@hotmail.com",41,"Bandung","2023-07-02","YouTube","free",6
"STU01470","Budi Yusuf","budi.yusuf927@hotmail.com",33,"Medan","2024-07-13","Referral","pro",1
"STU01096","Bagus Anggraini","bagus.anggraini731@gmail.com",30,"Surabaya","2023-12-08","Organic","pro",5
"STU00160","Naufal Anggraini","naufal.anggraini751@yahoo.com",40,"Malang","2022-04-18","Instagram","free",3
"STU01257","Adi Anggara","adi.anggara739@gmail.com",41,"Jakarta","2023-10-22","Referral","free",3
"STU02905","Krisna Putra","krisna.putra@hotmail8189@gmail.com",29,"Jakarta","2023-01-22","Google","free",4
"STU02853","Eko Iskandar","eko.iskandar@hotmail7229@gmail.com",42,"Yogyakarta","2024-09-18","Instagram","free",1
"STU02297","Eko Susanto","eko.susanto784@outlook.com",19,"Jakarta","2023-12-22","Referral","basic",4
"STU00723","Surya Pertiwi","surya.pertiwi@hotmail.com",21,"Bandung","2025-01-04","Instagram","basic",10
"STU02185","Diah Damayanti","diah.damayanti@gmail.com",37,"Jakarta","2023-04-09","YouTube","basic",5
"STU02355","Maya Yusuf","maya.yusuf@outlook6053@gmail.com",40,"Surabaya","2023-07-25","Google","free",11
"STU02328","Dewi Santoso","dewi.santoso@yahoo5564@gmail.com",44,"Jakarta","2022-05-26","Instagram","free",3
"STU01595","Fitri Damayanti","fitri.damayanti@outlook.com",44,"Denpasar","2022-07-20","Google","free",1
"STU01350","Krisna Mahendra","krisna.mahendra526@outlook.com",22,"Bandung","2024-08-15","Google","free",11
"STU00786","Nita Lestari","nita.lestari@hotmail.com",33,"Malang","2023-02-06","Instagram","free",3
"STU02973","Dito Nugroho","dito.nugroho380@hotmail.com",39,"Makassar","2024-05-13","Instagram","free",6
"STU02304","Bayu Cahyani","bayu.cahyani263@yahoo.com",37,"Medan","2024-12-10","YouTube","basic",9
"STU00473","Panji Maulana","panji.maulana@outlook.com",30,"Surabaya","2022-04-27","Instagram","free",3
"STU00770","Reza Maulana","reza.maulana@gmail.com",23,"Medan","2023-03-06","Instagram","free",0
"STU01444","Ayu Anggara","ayu.anggara856@yahoo.com",24,"Makassar","2022-07-11","TikTok","free",5
"STU00508","Rahmat Wijaya","rahmat.wijaya@gmail.com",26,"Palembang","2025-02-03","TikTok","pro",0
"STU02350","Dewi Yusuf","dewi.yusuf696@gmail.com",37,"Surabaya","2022-07-09","Instagram","basic",2
"STU02655","Indah Wulandari","indah.wulandari85@outlook.com",38,"Jakarta","2025-01-06","Instagram","basic",3
"STU01308","Arif Damayanti","arif.damayanti408@gmail546@gmail.com",30,"Surabaya","2022-11-12","YouTube","free",1
"STU01294","Rizky Wulandari","rizky.wulandari@hotmail.com",42,"Semarang","2023-11-02","Organic","free",4
"STU00892","Rizky Pertiwi","rizky.pertiwi@gmail.com",25,"Semarang","2024-06-11","Instagram","pro",0
"STU00246","Reza Iskandar","reza.iskandar714@gmail.com",43,"Semarang","2024-11-16","TikTok","pro",2
"STU00200","Umi Anggara","umi.anggara@outlook.com",31,"Bandung","2024-12-02","YouTube","basic",2
"STU00640","Dito Susanto","dito.susanto@gmail.com",20,"Palembang","2023-09-26","Instagram","basic",0
"STU01571","Reno Kusuma","reno.kusuma13@gmail.com",43,"Jakarta","2022-05-18","YouTube","free",0
"STU01392","Diah Pratama","diah.pratama@hotmail.com",34,"Bandung","2023-06-23","Organic","basic",3
