"instructor_id","name","total_courses","total_enrollments","average_rating","completion_rate","performance_rank"
"INST16","Luthfi Lestari",2,474,4.30,35.65,1
"INST21","Bayu Ramadhan",1,232,4.60,34.91,2
"INST03","Winda Ramadhan",1,242,4.70,33.88,3
"INST07","Indah Ramadhan",3,464,4.20,32.54,4
"INST22","Adi Susanto",2,485,4.36,32.37,5
"INST14","Sinta Iskandar",4,944,4.43,32.31,6
"INST17","Intan Kurniawan",2,462,4.50,32.25,7
"INST18","Tia Rahmawati",1,237,4.00,32.07,8
"INST04","Kirana Hidayat",1,217,4.80,31.80,9
"INST30","Permata Kusuma",2,466,4.55,31.55,10
"INST27","Ayu Santoso",5,916,4.38,31.44,11
"INST06","Putri Damayanti",3,692,4.54,31.36,12
"INST13","Nadia Kurniawan",1,231,4.60,30.74,13
"INST08","Adi Rahmawati",2,426,4.47,30.05,14
"INST24","Vina Saputra",3,710,4.60,28.87,15
"INST05","Mawar Putra",3,657,4.60,28.61,16
"INST10","Vina Pertiwi",2,451,4.15,28.60,17
"INST26","Ferdi Wibowo",3,467,4.54,28.48,18
"INST20","Hadi Wulandari",1,245,4.40,28.16,19
"INST15","Hadi Kusuma",3,680,4.30,27.79,20
"INST25","Hendra Maulana",3,431,4.45,27.15,21
"INST11","Eka Kurniawan",1,251,4.70,27.09,22
